序号,日语单词,注音,Anki格式,中文翻译,英文翻译,词性,例句,例句翻译,关联,补充,Audio,Audio_Sentence,Chapter,Section,,,
1,父親,ちちおや,父[ちち] 親[おや],父亲,father,名,父親は今年50歳になる。,我父亲今年50岁。,,,[sound:JLPT_TangoN3_Word_0001.mp3],[sound:JLPT_TangoN3_Sentence_0001.mp3],1,1,人と人との関係,家族,万词对策N3::Chapter 1 人と人との関係::Section 1 家族
2,母親,ははおや,母[はは] 親[おや],母亲,mother,名,母親の料理は、とてもおいしい。,我母亲做的菜很好吃。,,,[sound:JLPT_TangoN3_Word_0002.mp3],[sound:JLPT_TangoN3_Sentence_0002.mp3],1,1,人と人との関係,家族,万词对策N3::Chapter 1 人と人との関係::Section 1 家族
3,長女,ちょうじょ,長[ちょう] 女[じょ],长女，大女儿,oldest daughter,名,私は長女で、妹が一人いる。,我是长女，我还有一个妹妹。,,,[sound:JLPT_TangoN3_Word_0003.mp3],[sound:JLPT_TangoN3_Sentence_0003.mp3],1,1,人と人との関係,家族,万词对策N3::Chapter 1 人と人との関係::Section 1 家族
4,長男,ちょうなん,長[ちょう] 男[なん],长子，大儿子,oldest son,名,姉に元気な長男が生まれた。,我姐姐的大儿子健康地出生了。,,,[sound:JLPT_TangoN3_Word_0004.mp3],[sound:JLPT_TangoN3_Sentence_0004.mp3],1,1,人と人との関係,家族,万词对策N3::Chapter 1 人と人との関係::Section 1 家族
5,次女,じじょ,次[じ] 女[じょ],次女，二女儿,second-oldest daughter,名,次女は母に似ている。,二女儿长得像妈妈。,＝二女,,[sound:JLPT_TangoN3_Word_0005.mp3],[sound:JLPT_TangoN3_Sentence_0005.mp3],1,1,人と人との関係,家族,万词对策N3::Chapter 1 人と人との関係::Section 1 家族
6,次男,じなん,次[じ] 男[なん],次子，二儿子,second-oldest son,名,次男はとても背が高い。,二儿子个子很高。,＝二男,,[sound:JLPT_TangoN3_Word_0006.mp3],[sound:JLPT_TangoN3_Sentence_0006.mp3],1,1,人と人との関係,家族,万词对策N3::Chapter 1 人と人との関係::Section 1 家族
7,三女,さんじょ,三[さん] 女[じょ],三女儿,third-oldest daughter,名,三女は小学一年生だ。,三女儿上小学一年级。,,,[sound:JLPT_TangoN3_Word_0007.mp3],[sound:JLPT_TangoN3_Sentence_0007.mp3],1,1,人と人との関係,家族,万词对策N3::Chapter 1 人と人との関係::Section 1 家族
8,三男,さんなん,三[さん] 男[なん],三儿子,third-oldest son,名,三男は兄弟の中で一番元気だ。,兄弟姐妹当中，三儿子最活泼。,,,[sound:JLPT_TangoN3_Word_0008.mp3],[sound:JLPT_TangoN3_Sentence_0008.mp3],1,1,人と人との関係,家族,万词对策N3::Chapter 1 人と人との関係::Section 1 家族
9,末っ子,すえっこ,末[すえ] っ子[こ],最小的儿子或女儿,youngest child,名,彼は5人兄弟の末っ子だ。,他在5个兄弟姐妹当中排行最小。,,,[sound:JLPT_TangoN3_Word_0009.mp3],[sound:JLPT_TangoN3_Sentence_0009.mp3],1,1,人と人との関係,家族,万词对策N3::Chapter 1 人と人との関係::Section 1 家族
10,一人っ子,ひとりっこ,一[ひと] 人[り] っ子[こ],独生子女,only child,名,私の友だちには、一人っ子が多い。,我的朋友当中，很多都是独生子女。,,,[sound:JLPT_TangoN3_Word_0010.mp3],[sound:JLPT_TangoN3_Sentence_0010.mp3],1,1,人と人との関係,家族,万词对策N3::Chapter 1 人と人との関係::Section 1 家族
